dataId,data,time,src
5,"[0.8999298695650093, 0.9028008718017014, 0.09887321685075479, 0.0962181676686992, 0.10249511774434712, 0.09842244946175799, 0.10014447521092981, 0.900640473460904, 0.9047211799071043, 0.8999955114945735, 0.10461176390308775, 0.8940641693937625, 0.8992443772101362, 0.9022659479120054, 0.10067190502391674, 0.09878267350765281, 0.09900391525644048, 0.10194682225498344, 0.09989340195245475, 0.1013664938666004, 0.09777304263423443, 0.10071130408626065, 0.8979868402821382, 0.10496684166385067, 0.10227192843718208, 0.09800896613062894, 0.8998364176016865, 0.10307124405633303, 0.10196509245488122, 0.10013587661122618, 0.10425370517268144, 0.09691116820038928, 0.09948605245089459, 0.8999631222445988, 0.09612252402383853, 0.9004131871584745, 0.09945997298223784, 0.09959635774386033, 0.9052933485120823, 0.09910464476434534, 0.8982212121393576, 0.1002537668226085, 0.9026706125933492, 0.09718370928691432, 0.0985632006442351, 0.10120451238286558, 0.1005335645029466, 0.10075415819186208, 0.10003402760291953, 0.10014685690498874]",224,4
4,"[0.09992986956501283, 0.9028008718017014, 0.09887321685075479, 0.0962181676686992, 0.10249511774434712, 0.09842244946175799, 0.10014447521092981, 0.1006404734609103, 0.9047211799071043, 0.09999551149457345, 0.9046117639030888, 0.09406416939376328, 0.8992443772101362, 0.10226594791201114, 0.9006719050239133, 0.09878267350765281, 0.09900391525644048, 0.10194682225498344, 0.09989340195245475, 0.9013664938665978, 0.8977730426342306, 0.9007113040862548, 0.09798684028214369, 0.10496684166385067, 0.10227192843718208, 0.09800896613062894, 0.09983641760168979, 0.10307124405633303, 0.10196509245488122, 0.10013587661122618, 0.9042537051726823, 0.09691116820038928, 0.09948605245089459, 0.8999631222445988, 0.8961225240238384, 0.10041318715847838, 0.09945997298223784, 0.09959635774386033, 0.10529334851208622, 0.8991046447643452, 0.8982212121393576, 0.1002537668226085, 0.10267061259335442, 0.09718370928691432, 0.8985632006442364, 0.10120451238286558, 0.1005335645029466, 0.10075415819186208, 0.9000340276029135, 0.10014685690498874]",224,4
129,[0.0036],224,2
128,[120.00307198657404],224,3
7,[1.0],225,3
128,[120.00308488637006],225,3
3,"[0.11107253751829788, 0.7781802936408456, 0.11097166603612835, 0.007674809421762428]",225,3
5,"[0.9014927056650117, 0.8970258753924146, 0.09740508702479374, 0.09841352971324736, 0.10179337451232084, 0.1015564234274445, 0.10112224159869482, 0.901346491664645, 0.8972196330127221, 0.9010713978999395, 0.09908821436758661, 0.89895957104806, 0.9039435009638566, 0.901050835801215, 0.10143114355298861, 0.09533479926184872, 0.10090450781430665, 0.10592699008490268, 0.09744309335213203, 0.10091102913768117, 0.09776971132645466, 0.10168908214586608, 0.8982094260286533, 0.10437077625170657, 0.09878875837285339, 0.09987649830290772, 0.898355651013124, 0.09507699255842489, 0.10001001978549404, 0.09947756973268712, 0.09910761762437924, 0.10114254476282697, 0.09889268371118078, 0.9002256890234268, 0.10464003116756226, 0.9016006805147475, 0.09891018973214954, 0.09978717732579216, 0.9012531240194643, 0.10052125380299608, 0.8990644465423496, 0.0964904848033758, 0.9014315480007694, 0.09868195302249949, 0.10104772018994022, 0.09768810324060334, 0.10001982752556492, 0.0973408151045644, 0.09952551973032861, 0.10226793047528238]",225,4
6,[0.8985765922479672],225,2
129,[0.0036],225,2
4,"[0.10149270566501595, 0.8970258753924146, 0.09740508702479374, 0.09841352971324736, 0.10179337451232084, 0.1015564234274445, 0.10112224159869482, 0.10134649166465128, 0.8972196330127221, 0.10107139789993916, 0.899088214367588, 0.09895957104806097, 0.9039435009638566, 0.1010508358012213, 0.9014311435529855, 0.09533479926184872, 0.10090450781430665, 0.10592699008490268, 0.09744309335213203, 0.900911029137678, 0.8977697113264511, 0.9016890821458596, 0.09820942602865922, 0.10437077625170657, 0.09878875837285339, 0.09987649830290772, 0.0983556510131274, 0.09507699255842489, 0.10001001978549404, 0.09947756973268712, 0.8991076176243802, 0.10114254476282697, 0.09889268371118078, 0.9002256890234268, 0.9046400311675633, 0.10160068051475149, 0.09891018973214954, 0.09978717732579216, 0.10125312401946779, 0.9005212538029962, 0.8990644465423496, 0.0964904848033758, 0.10143154800077529, 0.09868195302249949, 0.9010477201899413, 0.09768810324060334, 0.10001982752556492, 0.0973408151045644, 0.8995255197303226, 0.10226793047528238]",225,4
5,"[0.8982602803748848, 0.8988675164356725, 0.09947243776244359, 0.09544521529245374, 0.09699786911886238, 0.09886825298056168, 0.09884974563964194, 0.8990380338726977, 0.9013556422326751, 0.895964118245966, 0.10297166745745251, 0.8961265394805306, 0.9010755753011401, 0.9028550812040109, 0.10250317241818568, 0.09872721724103199, 0.10118562388284463, 0.09872919880956633, 0.10187291611027456, 0.10082709474844252, 0.1009936576622307, 0.10098560673678096, 0.9008649069162952, 0.10090826538960847, 0.09730736460600113, 0.10074521858314169, 0.8991881847578397, 0.10216757345235666, 0.09586187538076395, 0.10237371186952801, 0.09826845573394882, 0.09903797623886143, 0.0982743761439495, 0.9049696998939716, 0.10201949534993852, 0.9029101272554348, 0.09805048113173166, 0.1007383160329659, 0.8949851650747023, 0.0987320205250874, 0.8995647774152304, 0.10131663353794891, 0.8999679740064813, 0.10018556919937732, 0.09765547277942364, 0.09853878939334142, 0.10352511905888476, 0.10079610943998908, 0.10346971582708518, 0.09676566427616756]",226,4
4,"[0.0982602803748882, 0.8988675164356725, 0.09947243776244359, 0.09544521529245374, 0.09699786911886238, 0.09886825298056168, 0.09884974563964194, 0.09903803387270332, 0.9013556422326751, 0.09596411824596608, 0.902971667457453, 0.09612653948053024, 0.9010755753011401, 0.10285508120401708, 0.9025031724181822, 0.09872721724103199, 0.10118562388284463, 0.09872919880956633, 0.10187291611027456, 0.9008270947484404, 0.9009936576622283, 0.9009856067367743, 0.10086490691630144, 0.10090826538960847, 0.09730736460600113, 0.10074521858314169, 0.09918818475784366, 0.10216757345235666, 0.09586187538076395, 0.10237371186952801, 0.8982684557339493, 0.09903797623886143, 0.0982743761439495, 0.9049696998939716, 0.9020194953499384, 0.1029101272554371, 0.09805048113173166, 0.1007383160329659, 0.0949851650747063, 0.8987320205250878, 0.8995647774152304, 0.10131663353794891, 0.09996797400648724, 0.10018556919937732, 0.8976554727794246, 0.09853878939334142, 0.10352511905888476, 0.10079610943998908, 0.9034697158270804, 0.09676566427616756]",226,4
